Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,#indicator+name,,,,#date+year,#indicator+type,#indicator+value+num,
KEN,1970-01-01,1970-12-31,114,'404,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1970,1970,LCU,1.7486746190,E
KEN,1971-01-01,1971-12-31,114,'404,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1971,1971,LCU,1.8195944500,E
KEN,1972-01-01,1972-12-31,114,'404,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1972,1972,LCU,1.9425857610,E
KEN,1973-01-01,1973-12-31,114,'404,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1973,1973,LCU,2.1407744670,E
KEN,1974-01-01,1974-12-31,114,'404,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1974,1974,LCU,2.4731871050,E
KEN,1975-01-01,1975-12-31,114,'404,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1975,1975,LCU,2.8015290430,E
KEN,1976-01-01,1976-12-31,114,'404,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1976,1976,LCU,3.2705028950,E
KEN,1977-01-01,1977-12-31,114,'404,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1977,1977,LCU,3.8301981230,E
KEN,1978-01-01,1978-12-31,114,'404,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1978,1978,LCU,3.8857407720,E
KEN,1979-01-01,1979-12-31,114,'404,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1979,1979,LCU,4.1542990210,E
KEN,1980-01-01,1980-12-31,114,'404,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1980,1980,LCU,4.5485089540,E
KEN,1981-01-01,1981-12-31,114,'404,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1981,1981,LCU,5.0404121680,E
KEN,1982-01-01,1982-12-31,114,'404,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1982,1982,LCU,5.6523312100,E
KEN,1983-01-01,1983-12-31,114,'404,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1983,1983,LCU,6.3186177970,E
KEN,1984-01-01,1984-12-31,114,'404,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1984,1984,LCU,6.9617515680,E
KEN,1985-01-01,1985-12-31,114,'404,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1985,1985,LCU,7.5389331640,E
KEN,1986-01-01,1986-12-31,114,'404,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1986,1986,LCU,8.1939273270,E
KEN,1987-01-01,1987-12-31,114,'404,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1987,1987,LCU,8.6365303070,E
KEN,1988-01-01,1988-12-31,114,'404,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1988,1988,LCU,9.3750820420,E
KEN,1989-01-01,1989-12-31,114,'404,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1989,1989,LCU,10.1616407100,E
KEN,1990-01-01,1990-12-31,114,'404,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1990,1990,LCU,11.1114397600,E
KEN,1991-01-01,1991-12-31,114,'404,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1991,1991,LCU,12.3985897000,E
KEN,1992-01-01,1992-12-31,114,'404,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1992,1992,LCU,14.4691996400,E
KEN,1993-01-01,1993-12-31,114,'404,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1993,1993,LCU,18.0208161700,E
KEN,1994-01-01,1994-12-31,114,'404,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1994,1994,LCU,21.5924975500,E
KEN,1995-01-01,1995-12-31,114,'404,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1995,1995,LCU,24.4416047000,E
KEN,1996-01-01,1996-12-31,114,'404,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1996,1996,LCU,26.6697626600,E
KEN,1997-01-01,1997-12-31,114,'404,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1997,1997,LCU,29.7751854500,E
KEN,1998-01-01,1998-12-31,114,'404,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1998,1998,LCU,31.8414555600,E
KEN,1999-01-01,1999-12-31,114,'404,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1999,1999,LCU,33.1740967400,E
KEN,2000-01-01,2000-12-31,114,'404,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",2000,2000,LCU,35.2115006200,E
KEN,2001-01-01,2001-12-31,114,'404,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",2001,2001,LCU,35.8084905700,E
KEN,2002-01-01,2002-12-31,114,'404,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",2002,2002,LCU,36.1494417400,E
KEN,2003-01-01,2003-12-31,114,'404,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",2003,2003,LCU,38.3905395100,E
KEN,2004-01-01,2004-12-31,114,'404,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",2004,2004,LCU,41.1267556500,E
KEN,2005-01-01,2005-12-31,114,'404,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",2005,2005,LCU,43.1427476300,E
KEN,2006-01-01,2006-12-31,114,'404,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",2006,2006,LCU,46.5009886600,E
KEN,2007-01-01,2007-12-31,114,'404,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",2007,2007,LCU,50.2816237500,E
KEN,2008-01-01,2008-12-31,114,'404,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",2008,2008,LCU,57.9005194300,E
KEN,2009-01-01,2009-12-31,114,'404,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",2009,2009,LCU,64.6368863000,E
KEN,2010-01-01,2010-12-31,114,'404,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",2010,2010,LCU,65.9902521000,E
KEN,2011-01-01,2011-12-31,114,'404,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",2011,2011,LCU,73.1116825300,E
KEN,2012-01-01,2012-12-31,114,'404,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",2012,2012,LCU,79.9715893400,E
KEN,2013-01-01,2013-12-31,114,'404,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",2013,2013,LCU,84.1027921200,E
KEN,2014-01-01,2014-12-31,114,'404,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",2014,2014,LCU,90.8884498300,E
KEN,2015-01-01,2015-12-31,114,'404,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",2015,2015,LCU,100.0000000000,E
KEN,2016-01-01,2016-12-31,114,'404,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",2016,2016,LCU,105.8496289000,E
KEN,2017-01-01,2017-12-31,114,'404,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",2017,2017,LCU,113.9399838000,E
KEN,2018-01-01,2018-12-31,114,'404,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",2018,2018,LCU,118.7217872000,E
KEN,2019-01-01,2019-12-31,114,'404,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",2019,2019,LCU,124.1713438000,E
KEN,2020-01-01,2020-12-31,114,'404,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",2020,2020,LCU,130.6058660000,E
KEN,2021-01-01,2021-12-31,114,'404,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",2021,2021,LCU,135.8521583000,E
KEN,1970-01-01,1970-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",1970,1970,US$,24.0354940900,E
KEN,1971-01-01,1971-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",1971,1971,US$,25.0102856300,E
KEN,1972-01-01,1972-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",1972,1972,US$,26.7007984800,E
KEN,1973-01-01,1973-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",1973,1973,US$,29.9382392000,E
KEN,1974-01-01,1974-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",1974,1974,US$,34.0322513600,E
KEN,1975-01-01,1975-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",1975,1975,US$,37.4564274600,E
KEN,1976-01-01,1976-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",1976,1976,US$,38.3754453700,E
KEN,1977-01-01,1977-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",1977,1977,US$,45.4346841900,E
KEN,1978-01-01,1978-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",1978,1978,US$,49.3565919300,E
KEN,1979-01-01,1979-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",1979,1979,US$,54.5613089100,E
KEN,1980-01-01,1980-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",1980,1980,US$,60.1825188500,E
KEN,1981-01-01,1981-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",1981,1981,US$,54.6957681100,E
KEN,1982-01-01,1982-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",1982,1982,US$,50.8076014900,E
KEN,1983-01-01,1983-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",1983,1983,US$,46.6026627900,E
KEN,1984-01-01,1984-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",1984,1984,US$,47.4191708600,E
KEN,1985-01-01,1985-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",1985,1985,US$,45.0435456900,E
KEN,1986-01-01,1986-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",1986,1986,US$,49.5796819700,E
KEN,1987-01-01,1987-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",1987,1987,US$,51.5312903500,E
KEN,1988-01-01,1988-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",1988,1988,US$,51.8637442000,E
KEN,1989-01-01,1989-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",1989,1989,US$,48.4946304200,E
KEN,1990-01-01,1990-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",1990,1990,US$,47.6070293600,E
KEN,1991-01-01,1991-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",1991,1991,US$,44.2518634700,E
KEN,1992-01-01,1992-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",1992,1992,US$,44.0938321600,E
KEN,1993-01-01,1993-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",1993,1993,US$,30.5037101400,E
KEN,1994-01-01,1994-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",1994,1994,US$,37.8215212400,E
KEN,1995-01-01,1995-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",1995,1995,US$,46.6585013100,E
KEN,1996-01-01,1996-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",1996,1996,US$,45.8443869600,E
KEN,1997-01-01,1997-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",1997,1997,US$,49.7733694700,E
KEN,1998-01-01,1998-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",1998,1998,US$,51.7859160500,E
KEN,1999-01-01,1999-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",1999,1999,US$,46.3124800800,E
KEN,2000-01-01,2000-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",2000,2000,US$,45.3821606600,E
KEN,2001-01-01,2001-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",2001,2001,US$,44.7489720900,E
KEN,2002-01-01,2002-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",2002,2002,US$,45.0683804700,E
KEN,2003-01-01,2003-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",2003,2003,US$,49.6358138700,E
KEN,2004-01-01,2004-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",2004,2004,US$,50.9986558800,E
KEN,2005-01-01,2005-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",2005,2005,US$,56.0616525700,E
KEN,2006-01-01,2006-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",2006,2006,US$,63.3195876800,E
KEN,2007-01-01,2007-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",2007,2007,US$,73.3325200900,E
KEN,2008-01-01,2008-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",2008,2008,US$,82.1764678400,E
KEN,2009-01-01,2009-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",2009,2009,US$,82.0398763500,E
KEN,2010-01-01,2010-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",2010,2010,US$,81.7690669500,E
KEN,2011-01-01,2011-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",2011,2011,US$,80.8234397000,E
KEN,2012-01-01,2012-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",2012,2012,US$,92.8844663700,E
KEN,2013-01-01,2013-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",2013,2013,US$,95.8755926000,E
KEN,2014-01-01,2014-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",2014,2014,US$,101.4907623000,E
KEN,2015-01-01,2015-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",2015,2015,US$,100.0000000000,E
KEN,2016-01-01,2016-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",2016,2016,US$,102.3813350000,E
KEN,2017-01-01,2017-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",2017,2017,US$,108.1747632000,E
KEN,2018-01-01,2018-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",2018,2018,US$,115.0616025000,E
KEN,2019-01-01,2019-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",2019,2019,US$,119.5293194000,E
KEN,2020-01-01,2020-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",2020,2020,US$,120.4564391000,E
KEN,2021-01-01,2021-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",2021,2021,US$,121.6529453000,E
KEN,1970-01-01,1970-12-31,114,'404,Kenya,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",1970,1970,LCU,1.3160637300,E
KEN,1971-01-01,1971-12-31,114,'404,Kenya,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",1971,1971,LCU,1.4123012730,E
KEN,1972-01-01,1972-12-31,114,'404,Kenya,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",1972,1972,LCU,1.6412063720,E
KEN,1973-01-01,1973-12-31,114,'404,Kenya,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",1973,1973,LCU,1.8310756660,E
KEN,1974-01-01,1974-12-31,114,'404,Kenya,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",1974,1974,LCU,2.3310524280,E
KEN,1975-01-01,1975-12-31,114,'404,Kenya,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",1975,1975,LCU,2.7099919850,E
KEN,1976-01-01,1976-12-31,114,'404,Kenya,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",1976,1976,LCU,3.2855254000,E
KEN,1977-01-01,1977-12-31,114,'404,Kenya,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",1977,1977,LCU,3.6545535070,E
KEN,1978-01-01,1978-12-31,114,'404,Kenya,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",1978,1978,LCU,4.0872531710,E
KEN,1979-01-01,1979-12-31,114,'404,Kenya,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",1979,1979,LCU,4.6427527670,E
KEN,1980-01-01,1980-12-31,114,'404,Kenya,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",1980,1980,LCU,5.2302509510,E
KEN,1981-01-01,1981-12-31,114,'404,Kenya,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",1981,1981,LCU,5.8438215800,E
KEN,1982-01-01,1982-12-31,114,'404,Kenya,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",1982,1982,LCU,6.7749799630,E
KEN,1983-01-01,1983-12-31,114,'404,Kenya,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",1983,1983,LCU,8.4334386000,E
KEN,1984-01-01,1984-12-31,114,'404,Kenya,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",1984,1984,LCU,9.6768297880,E
KEN,1985-01-01,1985-12-31,114,'404,Kenya,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",1985,1985,LCU,10.0546603800,E
KEN,1986-01-01,1986-12-31,114,'404,Kenya,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",1986,1986,LCU,11.6939399700,E
KEN,1987-01-01,1987-12-31,114,'404,Kenya,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",1987,1987,LCU,12.3155356100,E
KEN,1988-01-01,1988-12-31,114,'404,Kenya,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",1988,1988,LCU,13.4086304900,E
KEN,1989-01-01,1989-12-31,114,'404,Kenya,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",1989,1989,LCU,14.7801536600,E
KEN,1990-01-01,1990-12-31,114,'404,Kenya,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",1990,1990,LCU,17.4582711100,E
KEN,1991-01-01,1991-12-31,114,'404,Kenya,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",1991,1991,LCU,18.9735003200,E
KEN,1992-01-01,1992-12-31,114,'404,Kenya,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",1992,1992,LCU,20.3435269400,E
KEN,1993-01-01,1993-12-31,114,'404,Kenya,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",1993,1993,LCU,27.2252039800,E
KEN,1994-01-01,1994-12-31,114,'404,Kenya,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",1994,1994,LCU,32.0202490500,E
KEN,1995-01-01,1995-12-31,114,'404,Kenya,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",1995,1995,LCU,36.5173622100,E
KEN,1996-01-01,1996-12-31,114,'404,Kenya,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",1996,1996,LCU,37.8456902100,E
KEN,1997-01-01,1997-12-31,114,'404,Kenya,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",1997,1997,LCU,39.4971117400,E
KEN,1998-01-01,1998-12-31,114,'404,Kenya,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",1998,1998,LCU,41.1126361700,E
KEN,1999-01-01,1999-12-31,114,'404,Kenya,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",1999,1999,LCU,43.9225305000,E
KEN,2000-01-01,2000-12-31,114,'404,Kenya,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",2000,2000,LCU,46.3986370700,E
KEN,2001-01-01,2001-12-31,114,'404,Kenya,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",2001,2001,LCU,47.2790859000,E
KEN,2002-01-01,2002-12-31,114,'404,Kenya,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",2002,2002,LCU,48.5072065900,E
KEN,2003-01-01,2003-12-31,114,'404,Kenya,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",2003,2003,LCU,52.9597564000,E
KEN,2004-01-01,2004-12-31,114,'404,Kenya,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",2004,2004,LCU,57.0321011900,E
KEN,2005-01-01,2005-12-31,114,'404,Kenya,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",2005,2005,LCU,57.0178247200,E
KEN,2006-01-01,2006-12-31,114,'404,Kenya,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",2006,2006,LCU,56.2513998500,E
KEN,2007-01-01,2007-12-31,114,'404,Kenya,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",2007,2007,LCU,65.3624347900,E
KEN,2008-01-01,2008-12-31,114,'404,Kenya,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",2008,2008,LCU,63.1656057200,E
KEN,2009-01-01,2009-12-31,114,'404,Kenya,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",2009,2009,LCU,64.9802542100,E
KEN,2010-01-01,2010-12-31,114,'404,Kenya,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",2010,2010,LCU,69.3667656200,E
KEN,2011-01-01,2011-12-31,114,'404,Kenya,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",2011,2011,LCU,78.1106681800,E
KEN,2012-01-01,2012-12-31,114,'404,Kenya,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",2012,2012,LCU,82.3750406300,E
KEN,2013-01-01,2013-12-31,114,'404,Kenya,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",2013,2013,LCU,87.5961197600,E
KEN,2014-01-01,2014-12-31,114,'404,Kenya,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",2014,2014,LCU,96.9933713500,E
KEN,2015-01-01,2015-12-31,114,'404,Kenya,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",2015,2015,LCU,100.0000000000,E
KEN,2016-01-01,2016-12-31,114,'404,Kenya,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",2016,2016,LCU,100.6209820000,E
